year,county_fips,diabetes_percentage,diabetes_lower_limit,diabetes_upper_limit
2010,01001,11.2,8.8,13.9
2010,01003,10.2,8.7,11.9
2010,01005,13,10.6,15.9
2010,01007,10.6,8.2,13.3
2010,01009,12.6,9.8,15.7
2010,01011,16.1,12.4,20.4
2010,01013,13.9,11.3,16.9
2010,01015,12.7,10.9,14.7
2010,01017,13.1,10.6,16
2010,01019,11.4,8.5,14.9
2010,01021,11.6,9,14.4
2010,01023,14.4,11.9,17.3
2010,01025,13.6,11.1,16.7
2010,01027,12.6,9.5,16.3
2010,01029,11.6,8.7,15.4
2010,01031,11.6,9.3,14.4
2010,01033,11.8,9.7,14.1
2010,01035,14.8,11.6,18.2
2010,01037,13.2,10.1,16.7
2010,01039,11.5,9.2,14.2
2010,01041,12.9,9.8,16.4
2010,01043,11.5,8.8,14.5
2010,01045,13,10.5,15.8
2010,01047,13.4,11.4,15.5
2010,01049,11.8,9.1,14.8
2010,01051,11.7,9.5,14.3
2010,01053,12,9.9,14.4
2010,01055,12.5,10.7,14.7
2010,01057,13.4,10.5,17.1
2010,01059,12.9,10.1,16.1
2010,01061,11.6,9,14.6
2010,01063,16.2,12.8,20.4
2010,01065,14.1,11.5,17
2010,01067,12.1,9.4,14.9
2010,01069,11.9,9.9,14
2010,01071,11.6,8.9,14.8
2010,01073,10.9,9.8,12.2
2010,01075,11.5,8.7,14.7
2010,01077,11,9.2,12.8
2010,01079,12.4,9.7,15.8
2010,01081,10.7,8.8,13
2010,01083,10,7.7,12.8
2010,01085,17,13.7,20.9
2010,01087,15.2,11.9,19
2010,01089,11,9.5,12.6
2010,01091,15.1,12.7,17.8
2010,01093,11,8.6,14
2010,01095,12.2,9.5,15.3
2010,01097,11.2,10,12.3
2010,01099,11.9,9.4,14.7
2010,01101,13.9,12,15.8
2010,01103,10.8,8.7,13.3
2010,01105,15.9,12.6,19.5
2010,01107,13.4,10.7,16.7
2010,01109,14.5,11.7,17.6
2010,01111,12.8,10.1,16.1
2010,01113,12.4,9.7,15.3
2010,01117,8.7,7.2,10.4
2010,01115,12.4,10,15.3
2010,01119,14.5,11.8,17.7
2010,01121,12.8,10.8,15
2010,01123,11.9,9.6,14.5
2010,01125,10.8,9.5,12.2
2010,01127,13.2,10.9,15.7
2010,01129,11.8,9.1,14.9
2010,01131,15.7,12.4,19.6
2010,01133,10.3,7.7,13.1
2010,02013,8.9,6.7,11.6
2010,02016,8.2,6.2,10.6
2010,02020,7.6,6.5,8.8
2010,02050,7.7,6,9.7
2010,02060,7.9,5.8,10.1
2010,02068,6.6,4.7,9
2010,02070,8.5,6.5,10.9
2010,02090,7,5.9,8.1
2010,02100,6.8,5,9
2010,02105,8.2,6.2,10.6
2010,02110,6.3,5.2,7.7
2010,02122,6,5,7.1
2010,02130,6.9,5.4,8.7
2010,02150,6.8,5.3,8.5
2010,02158,NA,NA,NA
2010,02164,8.7,6.4,11.3
2010,02170,6.8,5.6,8.2
2010,02180,8.7,6.8,11
2010,02185,8.8,6.8,11.2
2010,02188,8.3,6.3,10.6
2010,02195,6.4,4.6,8.4
2010,02201,NA,NA,NA
2010,02198,7.2,5.4,9.2
2010,02220,7.2,5.4,9.3
2010,02230,6.7,4.7,9.3
2010,02232,NA,NA,NA
2010,02240,6.5,4.7,8.6
2010,02261,6.4,5,8.3
2010,02270,8.1,6.1,10.5
2010,02275,7,5.1,9.3
2010,02280,NA,NA,NA
2010,02282,8.3,6.2,10.7
2010,02290,7.7,5.9,9.7
2010,04001,13.7,11.8,15.9
2010,04003,7.7,6.3,9.2
2010,04005,7.6,6.5,8.8
2010,04007,8.7,7.2,10.5
2010,04009,10.7,8.8,12.6
2010,04011,8.6,6.9,10.5
2010,04012,10.1,8.4,12
2010,04013,7.7,7,8.5
2010,04015,9.2,7.9,10.5
2010,04017,10.4,8.7,12.3
2010,04019,7.1,6.2,8
2010,04021,9.8,8.5,11.4
2010,04023,5.6,4.3,7.1
2010,04025,7.1,6,8.3
2010,04027,8.8,7.4,10.3
2010,05001,12.5,9.8,15.8
2010,05003,10.2,7.8,13
2010,05005,7.9,6,10.1
2010,05007,8.4,7.2,9.9
2010,05009,10,7.7,12.6
2010,05011,12.1,9.1,15.7
2010,05013,10.1,7.5,13.3
2010,05015,9.3,7,12.1
2010,05017,12.7,9.9,16.1
2010,05019,10.9,8.3,13.9
2010,05021,10.6,7.6,14
2010,05023,10.2,7.5,13.5
2010,05025,11.2,8.4,14.7
2010,05027,11.4,8.8,14.4
2010,05029,11.1,8.4,14.3
2010,05031,11.3,9.1,14
2010,05033,9.3,7.1,11.8
2010,05035,13.3,10.9,16
2010,05037,11.4,8.6,14.8
2010,05039,11.3,8.5,14.5
2010,05041,11.9,9.2,15.2
2010,05043,11.4,8.6,14.5
2010,05045,10.8,8.5,13.4
2010,05047,10.5,7.6,13.9
2010,05049,9.5,6.8,12.7
2010,05051,9,7.3,10.9
2010,05053,9.9,7.3,13.1
2010,05055,13.6,10.4,17.1
2010,05057,12.7,9.7,16.2
2010,05059,10.1,7.7,13.1
2010,05061,11.2,8.5,14.5
2010,05063,10.4,7.9,13.3
2010,05065,8.6,6.2,11.6
2010,05067,12.4,9.3,16.1
2010,05069,13.9,11.8,16.4
2010,05071,10.8,8,14.2
2010,05073,10.5,8,13.7
2010,05075,10.5,7.7,13.6
2010,05077,11.9,9.3,14.9
2010,05079,10.7,8.1,14
2010,05081,10.5,7.9,13.7
2010,05083,10.7,8,14.2
2010,05085,10.4,8,13.4
2010,05087,11.6,8.6,15.1
2010,05089,10.7,8.1,14.2
2010,05091,11.2,8.7,14.1
2010,05093,12.5,10,15.5
2010,05095,11.4,8.5,14.7
2010,05097,9.1,6.6,12.2
2010,05099,12.3,9.4,16
2010,05101,10.1,7.3,13.2
2010,05103,11,8.7,13.6
2010,05105,10.8,7.7,14.4
2010,05107,13.8,11.2,16.7
